speed	lag_time	time_points
ENSMUSG00000026458	0.10197	0	2
ENSMUSG00000073557	2.57313235294118	8.77349362473068	3
ENSMUSG00000026429	0.37744	0	1
ENSMUSG00000041926	0.41132	0	1
ENSMUSG00000009418	0.18988	0	1
ENSMUSG00000041782	0.419237354085603	2.29247104247106	3
ENSMUSG00000041642	0.957016949152542	8.74348257296684	3
ENSMUSG00000041605	0.312	0	1
ENSMUSG00000041570	2.016	13.7385912698413	2
ENSMUSG00000041498	0.63316	0	1
ENSMUSG00000026361	0.78768	0	1
ENSMUSG00000006005	0.47052	0	1
ENSMUSG00000052748	0.52216	0	1
ENSMUSG00000026484	0.40616	0	1
ENSMUSG00000014980	0.432	3.9652777777778	2
ENSMUSG00000026470	1.16007121661721	11.5074060052932	3
ENSMUSG00000033684	0.58304	0	1
ENSMUSG00000033671	1.95587648456057	12.6076796401368	3
ENSMUSG00000026466	0.73916	0	1
ENSMUSG00000050565	0.192	0	1
ENSMUSG00000026596	1.6	8.24062500000005	2
ENSMUSG00000060519	0.0911	0	1
ENSMUSG00000033557	1.048	13.9312977099237	2
ENSMUSG00000026594	2.20466485362342	10.2053589050718	3
ENSMUSG00000040782	2.344	16.2623720136519	2
ENSMUSG00000040423	1.456	9.21497252747259	2
ENSMUSG00000026709	0.696	7.10201149425286	2
ENSMUSG00000040297	1.432	6.64734636871506	2
ENSMUSG00000026696	0.856	0	2
ENSMUSG00000040124	0.69072	0	1
ENSMUSG00000041406	1.16	14.1422413793103	2
ENSMUSG00000040843	0.7838	0	1
ENSMUSG00000026566	0.44011	0	2
ENSMUSG00000040713	0.2959	0	3
ENSMUSG00000026565	0.94708	0	1
ENSMUSG00000026564	0.05768	0	1
ENSMUSG00000026563	0.34432	0	1
ENSMUSG00000052428	0.04	0	1
ENSMUSG00000026688	0.2712	0	2
ENSMUSG00000026683	0.848	6.76533018867928	2
ENSMUSG00000026675	0.4256	0	1
ENSMUSG00000058076	0.528	0	1
ENSMUSG00000013593	0.13548	0	1
ENSMUSG00000006403	0.2834	0	2
ENSMUSG00000026556	0.516	0	2
ENSMUSG00000013698	0.256	0	2
ENSMUSG00000037995	0.32852	0	1
ENSMUSG00000026526	0.68	0	1
ENSMUSG00000026525	0.496	3.67943548387096	2
ENSMUSG00000078185	0.24608	0	1
ENSMUSG00000057335	2.128	13.0328947368421	2
ENSMUSG00000026492	0.39464	0	1
ENSMUSG00000038949	1.848	7.7754329004329	2
ENSMUSG00000038936	0.28728	0	1
ENSMUSG00000062169	0.16864	0	1
ENSMUSG00000038733	0.04408	0	1
ENSMUSG00000026510	1.872	11.2024572649573	2
ENSMUSG00000042901	0.00088	0	1
ENSMUSG00000056050	1.11051104100946	11.9205526770294	3
ENSMUSG00000073481	0.624	0	1
ENSMUSG00000039318	1.864	18.5171673819743	2
ENSMUSG00000026617	0.57756	0	2
ENSMUSG00000039210	1.808	11.1211283185841	3
ENSMUSG00000026605	0.3554	0	1
ENSMUSG00000026604	0.33199	0	2
ENSMUSG00000026603	0.872058565153733	6.65823953688284	3
ENSMUSG00000089872	1.704	17.0369718309859	2
ENSMUSG00000026634	0.408	0	1
ENSMUSG00000037568	0.7182848	8.80102154465748	3
ENSMUSG00000066595	0.448	5.00669642857142	2
ENSMUSG00000037499	0.09586	0	1
ENSMUSG00000026627	0.72356	0	1
ENSMUSG00000037474	0.21372	0	1
ENSMUSG00000037461	0.6226	0	1
ENSMUSG00000026623	1.592	9.42211055276384	2
ENSMUSG00000026638	0.569379310344828	6.17671996124031	3
ENSMUSG00000079144	0.096	2.55208333333341	2
ENSMUSG00000016481	0.8944	6.59846451997615	3
ENSMUSG00000040675	0.62732	0	1
ENSMUSG00000015202	2.13117596566524	10.5059206869608	3
ENSMUSG00000015757	0.3084	0	1
ENSMUSG00000015755	0.95658	0	1
ENSMUSG00000015305	1.976	10.0865384615385	2
ENSMUSG00000019815	0.0118	0	1
ENSMUSG00000019814	0.48544	0	1
ENSMUSG00000019810	0.96	9.79166666666666	2
ENSMUSG00000019808	0.384	0	1
ENSMUSG00000019854	1.528	5.40575916230367	2
ENSMUSG00000020009	0.816	7.10784313725491	2
ENSMUSG00000020003	1.176	9.10884353741496	2
ENSMUSG00000019982	0.10432	0	1
ENSMUSG00000097327	0.25076	0	1
ENSMUSG00000071359	0.896	0	1
ENSMUSG00000019998	0.800000000000001	5.89500000000002	2
ENSMUSG00000019989	0.39176	0	1
ENSMUSG00000039166	1.48309428359317	7.81916256867802	4
ENSMUSG00000039089	3.392	20.936320754717	2
ENSMUSG00000038876	0.576	0	1
ENSMUSG00000019791	0.59668	0	2
ENSMUSG00000039697	3.18581739755571	12.455309206512	3
ENSMUSG00000000295	0.568	0	1
ENSMUSG00000039531	0.66433	0	2
ENSMUSG00000019782	1.15692307692308	8.73011968085107	3
ENSMUSG00000039497	1.1145	0	2
ENSMUSG00000019845	0.489271028037383	5.77540495110024	3
ENSMUSG00000019843	1.696	6.48584905660378	2
ENSMUSG00000019837	0.19328	0	1
ENSMUSG00000038481	2.272	19.1492077464789	2
ENSMUSG00000038446	1.09826	0	2
ENSMUSG00000019831	1.67681157513976	8.88607157537363	4
ENSMUSG00000019823	0.28348	0	1
ENSMUSG00000019822	0.22144	0	1
ENSMUSG00000019813	0.2901	0	2
ENSMUSG00000019802	0.16315	0	2
ENSMUSG00000019864	1.256	14.6544585987262	2
ENSMUSG00000038160	2.752	19.1704215116279	2
ENSMUSG00000019849	1.59151114306254	11.4057689249938	3
ENSMUSG00000063804	0.688	0	1
ENSMUSG00000019891	0.87946	0	2
ENSMUSG00000019861	1.15466666666667	9.48739414934566	3
ENSMUSG00000019917	1.664	12.8605769230769	2
ENSMUSG00000009647	3.03647272727273	11.5505031755346	3
ENSMUSG00000020107	0.32536	0	1
ENSMUSG00000044475	0.595974082073434	2.10284993621711	3
ENSMUSG00000004207	0.57496	0	1
ENSMUSG00000020100	0.924514851485149	8.69502870116518	3
ENSMUSG00000020097	1.3329948542024	12.6859828910255	3
ENSMUSG00000020089	0.701757009345795	4.74692360963137	3
ENSMUSG00000020085	0.548210526315789	2.64765745007678	3
ENSMUSG00000020086	0.84	0.778571428571439	2
ENSMUSG00000071253	1.22972279069767	9.73030790830529	3
ENSMUSG00000020070	0.599715691634773	4.58175734811465	3
ENSMUSG00000037855	1.216	9.16036184210525	2
ENSMUSG00000037846	1.35528292268479	13.8456344410119	3
ENSMUSG00000048701	0.4672	0	1
ENSMUSG00000019927	0.762	0	2
ENSMUSG00000009681	2.04	14.2622549019608	2
ENSMUSG00000033444	1.68	8.97142857142856	2
ENSMUSG00000092360	0.22714	0	3
ENSMUSG00000001665	0.248606666666667	0	3
ENSMUSG00000000903	0.216	19.7037037037037	2
ENSMUSG00000001151	1	15.889	2
ENSMUSG00000001150	0.7526	0	1
ENSMUSG00000033105	0.00026	0	1
ENSMUSG00000001436	0.3552	0	1
ENSMUSG00000001435	0.92	4.84021739130436	2
ENSMUSG00000020262	1.86228820960699	9.29738266301493	3
ENSMUSG00000032977	0.295384615384615	8.709375	3
ENSMUSG00000020284	0.277701149425288	3.8066087196468	3
ENSMUSG00000020277	0.29764	0	1
ENSMUSG00000000731	0.27296	0	3
ENSMUSG00000000374	0.852	0	2
ENSMUSG00000001211	1.824	13.8771929824561	2
ENSMUSG00000061032	0.00336	0	1
ENSMUSG00000032714	0.288	3.60069444444443	2
ENSMUSG00000052151	0.67972	0	1
ENSMUSG00000042570	0.34194	0	2
ENSMUSG00000045912	0.2048	0	1
ENSMUSG00000035963	0.36	0	1
ENSMUSG00000020310	0.08454	0	1
ENSMUSG00000020331	0.289322314049587	6.23837408592322	3
ENSMUSG00000020329	0.203066666666667	0	3
ENSMUSG00000035890	0.26204	0	1
ENSMUSG00000020325	0.06658	0	1
ENSMUSG00000035863	0.284160795690012	6.40911212227277	4
ENSMUSG00000035781	0.1789	0	3
ENSMUSG00000035773	0.6972	0	1
ENSMUSG00000019564	0.29432	0	1
ENSMUSG00000035697	0.30844	0	2
ENSMUSG00000003070	0.414826883910387	1.98728888452474	3
ENSMUSG00000020156	1.024	18.7822265625	2
ENSMUSG00000020153	0.2664	0	2
ENSMUSG00000035504	0.260651982378855	2.05516495402922	3
ENSMUSG00000020167	0.12984	0	1
ENSMUSG00000003346	0.1282	0	2
ENSMUSG00000003344	0.234666666666667	4.53124999999998	2
ENSMUSG00000020216	0.324	0	3
ENSMUSG00000051067	0.257773333333333	0	3
ENSMUSG00000035206	0.25008	0	1
ENSMUSG00000062075	0.20532	0	2
ENSMUSG00000004929	0.30264	0	1
ENSMUSG00000034949	0.13138	0	2
ENSMUSG00000034917	0.181746666666667	0	3
ENSMUSG00000034902	0.40914	0	2
ENSMUSG00000034881	0.26676	0	1
ENSMUSG00000034872	0.296	0	3
ENSMUSG00000055053	0.298015492438215	4.15283196356074	4
ENSMUSG00000054452	0.277333333333333	8.50841346153847	2
ENSMUSG00000034771	0.299130434782608	0.348837209302321	3
ENSMUSG00000034748	0.01568	0	1
ENSMUSG00000078435	0.45244	0	2
ENSMUSG00000062931	0.67516	0	1
ENSMUSG00000034560	0.48830534351145	2.83068617642156	3
ENSMUSG00000020263	0.780463157894737	7.12377265861025	3
ENSMUSG00000087651	1.06944	0	1
ENSMUSG00000020032	1.65315254237288	8.48134022309712	3
ENSMUSG00000034453	1.696	15.5872641509434	2
ENSMUSG00000035620	1.96583177570094	12.2518588597726	3
ENSMUSG00000020038	1.216	5.05509868421045	2
ENSMUSG00000085111	0.04	0	1
ENSMUSG00000001786	0.789333333333333	7.33938626126126	3
ENSMUSG00000020056	1.528	17.5994764397906	2
ENSMUSG00000035311	1.024	0	2
ENSMUSG00000020059	0.0064	0	1
ENSMUSG00000004356	0.232	0	1
ENSMUSG00000074802	1.088	17.4944852941176	2
ENSMUSG00000069539	0.68336	0	1
ENSMUSG00000019948	0.55576	0	1
ENSMUSG00000019951	1.4	2.14285714285707	2
