P_R_gene	speed
ENSMUSG00000026031	FALSE	0
ENSMUSG00000026028	TRUE	1.7536046673149
ENSMUSG00000026027	FALSE	0
ENSMUSG00000038079	TRUE	0.502975106253795
ENSMUSG00000079550	FALSE	0
ENSMUSG00000026024	TRUE	1.07479752262982
ENSMUSG00000041075	FALSE	0
ENSMUSG00000026021	FALSE	0
ENSMUSG00000026020	FALSE	0
ENSMUSG00000067336	TRUE	2.29792105563039
ENSMUSG00000041040	TRUE	2.2137806117734
ENSMUSG00000026019	TRUE	0.626783661119516
ENSMUSG00000026017	TRUE	2.34772683453515
ENSMUSG00000073664	TRUE	1.85797231407275
ENSMUSG00000049439	FALSE	0
ENSMUSG00000026782	TRUE	1.92312058175184
ENSMUSG00000026014	TRUE	1.73278317687767
ENSMUSG00000040865	FALSE	0
ENSMUSG00000025968	FALSE	0
ENSMUSG00000025967	FALSE	0
ENSMUSG00000046856	FALSE	0
ENSMUSG00000027520	FALSE	0
ENSMUSG00000025964	FALSE	0
ENSMUSG00000025962	TRUE	0.64898210980876
ENSMUSG00000025959	TRUE	1.99149941130704
ENSMUSG00000025958	TRUE	1.26892956352982
ENSMUSG00000025956	TRUE	0.344444444444444
ENSMUSG00000070871	TRUE	1.2
ENSMUSG00000045005	FALSE	0
ENSMUSG00000051344	TRUE	5.07313271709061
ENSMUSG00000025950	TRUE	0.912270703472841
ENSMUSG00000025949	FALSE	0
ENSMUSG00000025946	FALSE	0
ENSMUSG00000055567	FALSE	0
ENSMUSG00000026005	FALSE	0
ENSMUSG00000026004	FALSE	0
ENSMUSG00000026003	TRUE	1.36446830265849
ENSMUSG00000026000	TRUE	1.48149991114271
ENSMUSG00000026196	TRUE	1.48178414337126
ENSMUSG00000026192	TRUE	0.506983103818732
ENSMUSG00000026193	FALSE	0
ENSMUSG00000039395	FALSE	0
ENSMUSG00000026189	TRUE	0.902347166443552
ENSMUSG00000026187	TRUE	1.07098205546493
ENSMUSG00000039354	TRUE	1.09215380906147
ENSMUSG00000039323	FALSE	0
ENSMUSG00000055322	FALSE	0
ENSMUSG00000006304	FALSE	0
ENSMUSG00000006299	FALSE	0
ENSMUSG00000026179	TRUE	0.66170880236206
ENSMUSG00000006301	TRUE	0.734648636665928
ENSMUSG00000026176	FALSE	0
ENSMUSG00000033364	TRUE	1.22479982785762
ENSMUSG00000026174	TRUE	0.610462475233171
ENSMUSG00000026135	FALSE	0
ENSMUSG00000026172	FALSE	0
ENSMUSG00000026171	FALSE	0
ENSMUSG00000033276	FALSE	0
ENSMUSG00000033257	TRUE	0.847431431950362
ENSMUSG00000033227	TRUE	0.0777777777777744
ENSMUSG00000006538	FALSE	0
ENSMUSG00000026162	FALSE	0
ENSMUSG00000033159	FALSE	0
ENSMUSG00000049339	FALSE	0
ENSMUSG00000026198	FALSE	0
ENSMUSG00000033124	TRUE	2.14912898195589
ENSMUSG00000026199	TRUE	0.333333333333333
ENSMUSG00000026200	TRUE	1.10810810810811
ENSMUSG00000026201	FALSE	0
ENSMUSG00000026202	FALSE	0
ENSMUSG00000026203	TRUE	0.348172142526608
ENSMUSG00000026204	TRUE	0.0826277372262783
ENSMUSG00000026209	TRUE	0.502702702702703
ENSMUSG00000026208	TRUE	1.10129516019087
ENSMUSG00000026207	TRUE	1.00445423396965
ENSMUSG00000033021	TRUE	0.306316074817024
ENSMUSG00000032997	TRUE	1.78775216522318
ENSMUSG00000026211	TRUE	0.252310110593387
ENSMUSG00000026213	TRUE	0.654772524531668
ENSMUSG00000006576	TRUE	0.349513330512061
ENSMUSG00000026235	TRUE	3.02396886265639
ENSMUSG00000026245	FALSE	0
ENSMUSG00000032883	TRUE	0.0038961038961039
ENSMUSG00000079470	FALSE	0
ENSMUSG00000054702	TRUE	2.42453746042912
ENSMUSG00000073643	TRUE	1.32312679584469
ENSMUSG00000026248	FALSE	0
ENSMUSG00000026249	FALSE	0
ENSMUSG00000004364	FALSE	0
