Chromatin_PolyA	Chromatin_Total	Cytoplasm_PolyA	Cytoplasm_Total	Nucleoplasm_PolyA	Nucleoplasm_Total
ENSMUSG00000000276	6.49246967675069	6.42649390020283	4.74021393706645	4.96910482126106	5.69171982655994	5.73559898480385
ENSMUSG00000000278	7.06829734301623	5.76444812715724	7.08228406875514	6.95175742873761	7.75272269119272	7.4756087594721
ENSMUSG00000000282	6.94688568003375	6.04233592976615	6.79995652708736	6.86873443931821	6.48635481901822	6.46232270765665
ENSMUSG00000000295	3.92312242512278	1.91664993927529	5.38302425497426	4.83278309878652	4.2782703950823	0
ENSMUSG00000000296	3.23002745780669	3.06144099599925	4.92925275187367	3.74324441111339	4.1498203983633	2.80976395112555
ENSMUSG00000000303	7.77016365907872	6.73057025767645	7.47346856542597	7.52187656283326	8.77724649696014	8.65623887896738
ENSMUSG00000000305	5.72032968001446	5.54896762601952	5.26396965040266	5.63752632049614	6.26555110844498	6.21458962336556
ENSMUSG00000000308	4.88464040760332	3.06637442371688	5.62721206864337	5.07744547425144	5.23921917441628	4.69199501553003
ENSMUSG00000000317	1.22806923060043	2.7917933867706	1.58000474442872	2.35911025015119	1.1165037451709	0
ENSMUSG00000000318	1.73592447753363	2.90281979718119	0.341914174668989	0	0.924339556311012	2.03566436678867
ENSMUSG00000000320	3.44800051961223	4.00336030144379	3.67710832969159	2.86110921912673	3.2384924767524	2.61418374626716
ENSMUSG00000000325	6.17985361704794	5.02714747399662	5.09696715100393	3.8539399421666	5.0197031145152	4.60113039621852
ENSMUSG00000000326	5.36171959857964	4.91080891471262	4.88274799740509	4.36242261367144	5.17705665580924	4.90218711693869
ENSMUSG00000000339	5.04846399294135	0	6.31637403871572	5.84878524772875	5.54050419283927	5.10013788582699
ENSMUSG00000000340	5.38525486344782	4.83199764694256	6.17930952908376	6.03685302572145	6.27013477149351	6.10321745103141
ENSMUSG00000000346	5.31363569058586	4.70487903752681	6.87344244987587	6.64316790922252	5.92358578500725	5.58816052207515
ENSMUSG00000000355	4.11710380861983	2.92690308451346	5.90553017747142	5.69718577326599	4.98421006381458	4.58034497704729
ENSMUSG00000000365	6.29365604891785	6.07426522801039	6.46243347594197	6.38940713380185	6.62293312555623	6.62104083554008
ENSMUSG00000000374	5.61959965366961	5.25025838634877	5.68098537182113	6.08588137145914	5.40185030579368	5.56051286257443
ENSMUSG00000000378	4.29326329278445	3.88431379647567	5.56752800566935	5.48016300300733	4.85930135175319	4.64620401033235
ENSMUSG00000000384	6.59328352479644	5.52860985110288	6.76955591092784	6.87868739724642	6.1551991025153	5.66379978198698
ENSMUSG00000000399	5.58209789434002	4.3488968238993	6.35805556074618	5.48817911229638	6.36486955670723	5.92917610281825
ENSMUSG00000000402	4.40534759695033	4.55603854068568	4.97157194017116	4.90980423999164	4.89578502397122	4.96513261163453
ENSMUSG00000000409	4.03201287382976	1.93513148120059	4.0747223819454	4.2205472590862	3.65970362857589	3.53773321902776
ENSMUSG00000000411	1.59254855948136	2.27518870698666	0.87622282345705	0	0.712550320624892	2.03566436678867
ENSMUSG00000000416	0.000000801121497397449	2.48790062708913	2.80389509921695	3.4287583628907	3.18261045442227	0
ENSMUSG00000000420	5.69325941723225	2.69860404560223	6.18315041006269	6.204336777459	6.25573002841297	5.19957100047492
ENSMUSG00000000435	1.94660833399441	1.84092786274019	2.51915201294691	2.369532336626	2.03797620260835	2.04718691263955
ENSMUSG00000000439	6.10682535920706	6.33390395536351	6.33243865682974	6.14888393396005	5.93158360571043	5.73621466123151
ENSMUSG00000000441	6.79751597568383	0.772314601147823	7.31607001733756	7.11398560968443	7.15159884359843	6.72469885981222
ENSMUSG00000000486	6.59482241960383	4.96216513005297	7.2033280618775	6.8609491673944	6.23254085454815	5.64602718480041
ENSMUSG00000000489	2.44534202388713	2.85267391867564	2.27127508160998	3.19489405550562	2.07567695170762	2.47697123979765
ENSMUSG00000000530	2.35578390850106	1.83063604420412	1.13385557073283	2.35911025015119	0	0
ENSMUSG00000000531	4.98950500914012	3.97173718086714	5.09011362533727	5.26466667506519	4.45235331651559	4.27871449068816
ENSMUSG00000000532	6.39386775865959	5.7108380783633	5.96026783868414	6.23209670599569	6.68162532358347	6.53674152922871
ENSMUSG00000000538	2.56504951332972	0	5.16376257119039	5.14253925222177	4.44145781324545	4.36583920275952
ENSMUSG00000000544	6.40057472055963	5.34273696529016	6.57690113586372	6.31551866117553	6.83932423886723	6.77502084482214
ENSMUSG00000000552	5.9170463881507	4.40884289840539	6.25278231207474	6.17952245838973	5.40991319892391	5.29272360373235
ENSMUSG00000000555	5.12512254133941	0.00000418072326667994	4.24720654882916	4.35207281342159	5.22748669427333	4.96632098464902
ENSMUSG00000000560	2.62366236645273	3.66881508371824	1.62156605665072	0	1.79920999203926	3.02440686461559
ENSMUSG00000000561	6.28145440018273	4.86237010216585	7.31494180510812	6.56842975987594	6.26689724995059	5.60160396593334
ENSMUSG00000000562	2.77654859531594	3.42042861929217	0	2.36541971867187	1.19260767869042	0
ENSMUSG00000000563	5.01158271429113	4.26750368166422	6.61500164866969	6.14756102987062	5.99156155915411	5.60891385762384
ENSMUSG00000000567	2.06324888480787	3.91682558190936	1.78218357134317	0	1.54955889472684	2.12830267787887
ENSMUSG00000000568	5.32382868992844	0	7.72238483764153	7.48032506408877	6.42592264132416	6.18003299729009
ENSMUSG00000000581	3.8084149879289	3.39155064484559	5.49525755599514	4.39071186660304	4.56488955367831	3.65378621259843
ENSMUSG00000000594	6.00834305213175	5.01642308831659	6.24756716211857	6.01192104141133	6.92285020664461	6.61593768187187
ENSMUSG00000000600	4.13190523330814	0	5.13509209713367	4.85514204644795	4.51589299190057	3.68967841070472
ENSMUSG00000000605	4.29718762823191	3.14120287539756	3.88139754831872	3.40871744495625	4.41731228220278	4.3992362510363
ENSMUSG00000000606	1.30624018081725	3.53564914028185	0.749772060160051	0	1.06946194351431	2.18755698646789
ENSMUSG00000000627	5.0273978550091	4.28591513265816	4.42095322629701	5.09368993277225	5.43783098832285	5.43626180365983
