Samples	CellNum	Spliced_lower	Spliced	Spliced_upper	Color
SL_rep1	14.25	0.0017825311942959	0.00548314206114029	0.0167279630634087	SL
SL_rep2	5	0.00189567042488036	0.0059922375789748	0.0188142580404821	SL
SL_rep3	26.85	0.00238502517531019	0.00773507417687462	0.0241521593328084	SL
2i_2d_rep1	8.125	0.00207271789766929	0.00619776510301478	0.0185185185185185	2i_2d
2i_2d_rep2	9.74	0.00151764266801005	0.00479344608835331	0.0144927536231884	2i_2d
mTORi_1d_rep1	6.05	0.00141043723554302	0.00441014332965821	0.0129310344827586	mTORi_1d
mTORi_1d_rep2	11.75	0.00135520935205946	0.00430592649817901	0.0138537386448489	mTORi_1d
mTORi_2d_rep1	37.75	0.00246361346380138	0.0076524512243922	0.0252100840336134	mTORi_2d
mTORi_2d_rep2	32.5	0.00320042689434365	0.0100385390199469	0.03125	mTORi_2d
